Line,Time,Flow,Limit
Aus_36.To.Aus_2,15,-104.3844784347271,1053.0
Aus_36.To.Aus_2,16,-102.51659055835017,1053.0
Aus_36.To.Aus_2,17,-110.49525114426294,1053.0
Aus_36.To.Aus_2,18,-106.52039574674349,1053.0
Aus_36.To.Aus_2,19,-109.20764805224945,1053.0
Aus_36.To.Aus_2,20,-115.2874826319129,1053.0
Aus_36.To.Aus_2,21,-128.54710054047706,1053.0
Aus_36.To.Aus_2,22,-139.26835469634386,1053.0
Aus_36.To.Aus_2,23,-144.73006043421702,1053.0
Aus_36.To.Aus_2,24,-142.02110475211225,1053.0
Aus_36.To.Aus_2,25,-136.19294142995443,1053.0
Aus_36.To.Aus_2,26,-135.01768176448894,1053.0
Aus_36.To.Aus_2,27,-136.44203839336535,1053.0
Aus_36.To.Aus_2,28,-121.77753126090778,1053.0
Aus_36.To.Aus_2,29,69.41695675035069,1053.0
Aus_36.To.Aus_2,30,80.42425561076848,1053.0
Aus_36.To.Aus_2,31,80.81102838077062,1053.0
Aus_36.To.Aus_2,32,71.91661761384148,1053.0
Aus_36.To.Aus_2,33,72.28946703736167,1053.0
Aus_36.To.Aus_2,34,69.8282752220404,1053.0
Aus_36.To.Aus_2,35,74.0465610167079,1053.0
Aus_36.To.Aus_2,36,71.18788156323187,1053.0
Aus_36.To.Aus_2,37,69.89382251223488,1053.0
Aus_36.To.Aus_2,38,69.33231058445885,1053.0
Aus_36.To.Aus_2,39,68.28572547060983,1053.0
Aus_36.To.Aus_2,40,71.04382140850689,1053.0
Aus_36.To.Aus_2,41,73.41094392044798,1053.0
Aus_36.To.Aus_2,42,76.55694354007312,1053.0
Aus_36.To.Aus_2,43,73.75414960924178,1053.0
Aus_36.To.Aus_2,44,75.25635823413043,1053.0
Aus_36.To.Aus_2,45,52.79304605195694,1053.0
Aus_36.To.Aus_2,46,40.84576948837027,1053.0
Aus_36.To.Aus_2,47,68.76966743467177,1053.0
Aus_36.To.Aus_2,48,70.66896732781385,1053.0
Aus_36.To.Aus_2,49,72.20532132146664,1053.0
Aus_36.To.Aus_2,50,65.23622983423617,1053.0
Aus_36.To.Aus_2,51,46.19024597586201,1053.0
Aus_36.To.Aus_2,52,42.80741345095052,1053.0
Aus_36.To.Aus_2,53,60.07994738774778,1053.0
Aus_36.To.Aus_2,54,48.99713404461425,1053.0
Aus_36.To.Aus_2,55,34.17760711735319,1053.0
Aus_36.To.Aus_2,56,41.97166886750044,1053.0
Aus_36.To.Aus_2,57,-2.0173574680541932,1053.0
Aus_36.To.Aus_2,58,34.016474681825514,1053.0
Aus_36.To.Aus_2,59,23.245143557136515,1053.0
Aus_36.To.Aus_2,60,11.453119087687902,1053.0
Aus_36.To.Aus_2,61,28.126543166478967,1053.0
Aus_36.To.Aus_2,62,39.60123681527248,1053.0
Aus_36.To.Aus_2,63,46.55784490031219,1053.0
Aus_36.To.Aus_2,64,39.76162870514484,1053.0
Aus_36.To.Aus_2,65,49.91895164399141,1053.0
Aus_36.To.Aus_2,66,52.41472956112108,1053.0
Aus_36.To.Aus_2,67,48.89866622107753,1053.0
Aus_36.To.Aus_2,68,48.41608114587117,1053.0
Aus_36.To.Aus_2,69,49.106767515208915,1053.0
Aus_36.To.Aus_2,70,45.34608169741521,1053.0
Aus_36.To.Aus_2,71,42.261992468090966,1053.0
Aus_36.To.Aus_2,72,38.92914978644345,1053.0
Aus_36.To.Aus_2,73,37.80754762027037,1053.0
Aus_36.To.Aus_2,74,35.06958639914408,1053.0
Aus_36.To.Aus_2,75,33.71289105841112,1053.0
Aus_36.To.Aus_2,76,33.158296762465156,1053.0
Aus_36.To.Aus_2,77,35.91943325533486,1053.0
Aus_36.To.Aus_2,78,37.61381632235797,1053.0
Aus_36.To.Aus_2,79,38.6275195442231,1053.0
Aus_36.To.Aus_2,80,42.405677304999145,1053.0
Aus_36.To.Aus_2,81,23.118533341560465,1053.0
Aus_36.To.Aus_2,82,11.750148926464384,1053.0
Aus_36.To.Aus_2,83,17.143908906961954,1053.0
Aus_36.To.Aus_2,84,17.61158160661815,1053.0
Aus_36.To.Aus_2,85,-64.34738095289529,1053.0
Aus_36.To.Aus_2,86,-64.91412394222797,1053.0
Aus_36.To.Aus_2,87,-75.54515274418387,1053.0
Aus_36.To.Aus_2,88,-94.94541865297711,1053.0
Aus_36.To.Aus_2,89,-101.89696635428407,1053.0
Aus_36.To.Aus_2,90,-104.48345823173278,1053.0
Aus_36.To.Aus_2,91,-110.17954843122348,1053.0
Aus_36.To.Aus_2,92,-108.19611636353476,1053.0
Aus_36.To.Aus_2,93,-102.51979358886939,1053.0
Aus_36.To.Aus_2,94,-107.43883689233716,1053.0
Aus_36.To.Aus_2,95,-109.72811951703508,1053.0
Aus_36.To.Aus_2,96,-110.05625830629829,1053.0
Aus_5.To.Aus_2,1,-424.67253220144715,1053.0
Aus_5.To.Aus_2,2,-418.8991437970083,1053.0
Aus_5.To.Aus_2,3,-416.703487800553,1053.0
Aus_5.To.Aus_2,4,-420.9683466455473,1053.0
Aus_5.To.Aus_2,5,-418.7429360062586,1053.0
Aus_5.To.Aus_2,6,-422.5421180758779,1053.0
Aus_5.To.Aus_2,7,-423.0628742400734,1053.0
Aus_5.To.Aus_2,8,-425.42853500810395,1053.0
Aus_5.To.Aus_2,9,-412.17779375239525,1053.0
Aus_5.To.Aus_2,10,-412.5165857635378,1053.0
